Input_Text,Accepted_Completion,Rejected_Completion
What role does Dr. Stanley Hazen hold at the Cleveland Clinic?,Dr. Stanley Hazen is chair of Cardiovascular and Metabolic Sciences.,Dr. Stanley Hazen is director of Infectious Diseases.
When did the COVID-19 virus first emerge?,The COVID-19 virus emerged in 2019.,The COVID-19 virus emerged in 2017.
By how much did the rate of triplet and higher-order births in the US decline between 1998 and 2023?,The rate declined by 62%.,The rate declined by 33%.
"In what year did Nadya Suleman, known as Octomom, deliver eight babies in a single birth?",2009.,2011.
"Between 1998 and 2023, by what percentage did the triplet and higher-order multiple birth rate decline for White mothers?",It declined by 71%.,It declined by 45%.
What is the highest number of embryos recommended for transfer in the latest guidelines for patients older than 40?,No more than four untested early-stage embryos.,No more than three untested early-stage embryos.
What organization set guidelines for embryo transfers to reduce risks in IVF cycles?,The American Society for Reproductive Medicine.,The National Reproductive Health Council.
"How many triplet and higher-order multiple births were recorded in the US in 2023, according to the report?","2,653 births.","5,398 births."
What year did guidelines start to issue on the number of embryos transferred in IVF cycles?,Guidelines were issued starting in 2004.,Guidelines were issued starting in 2010.
"Between 1998 and 2023, by what percentage did triplet and higher-order multiple birth rates decline for mothers aged 30 to 34?",They declined by 77%.,They declined by 54%.
By what percentage did the triplet and higher-order birth rate for Hispanic mothers fall from 1998 to 2023?,The rate fell by 25%.,The rate fell by 50%.
How did the triplet and higher-order birth rate change for Black mothers from 1998 to 2023?,It increased by 25%.,It decreased by 20%.
"What was the rate of triplet and higher-order multiple births per 100,000 in 1998?","194 births per 100,000.","120 births per 100,000."
By what percentage did the triplet and higher-order multiple birth rate decline for mothers aged 20 to 24 from 1998 to 2023?,It declined by 16%.,It declined by 28%.
What was the rate of triplet and higher-order multiple births in the United States in 1980?,"37 out of every 100,000 births.","87 out of every 100,000 births."
"What fertility assistance method, besides IVF, was mentioned as a possible factor for multiple births in Black and low-income mothers?",Clomiphene with insemination.,Laparoscopic ovarian drilling.
"According to the report, what is a significant risk associated with triplet and higher-order pregnancies for mothers?",Higher risk of complications like gestational diabetes.,Increased risk of genetic disorders.
What percentage decline in triplet and higher-order birth rates did the data show for mothers aged 25 to 29?,A decline of 57%.,A decline of 40%.
"In a report published in 2024, how many passengers contracted Legionnaires’ disease on two different cruise ships?",A dozen passengers contracted Legionnaires’ disease.,Two dozen passengers contracted Legionnaires’ disease.
"According to the CDC, what was identified as the source of the Legionnaires’ disease outbreak on the cruise ships?",Private balcony hot tubs were identified as the source.,Public swimming pools were identified as the source.
How many cruise ship passengers were hospitalized due to Legionnaires’ disease according to the report?,Ten passengers were hospitalized.,Twenty passengers were hospitalized.
How many private balcony hot tubs tested positive for Legionella bacteria on the first cruise ship?,Six private balcony hot tubs tested positive.,All ten private balcony hot tubs tested positive.
What temperature range was maintained in the hot tubs conducive to Legionella growth?,The temperature range was 77°F–113°F.,The temperature range was 65°F–105°F.
"What disease outbreak affected 180 Royal Caribbean cruise passengers, as reported alongside the Legionnaires' event?",A gastrointestinal illness outbreak affected them.,An influenza outbreak affected them.
How many private balcony hot tubs were on each cruise ship according to the CDC report?,The report found 10 on one ship and 8 on the other.,The report found 12 on one ship and 10 on the other.
What organization tracked and reported on the Legionnaires’ disease outbreaks on the cruise ships?,The Centers for Disease Control and Prevention (CDC) tracked the outbreak.,The World Health Organization (WHO) tracked the outbreak.
In which journal was the study on F-actin accumulation in fruit flies published in October 2024?,The study was published in Nature Communications.,The study was published in Science.
By approximately what percentage did the healthy lifespan of fruit flies increase after preventing F-actin buildup?,The healthy lifespan increased by about 30%.,The healthy lifespan increased by about 50%.
Who led the study on F-actin buildup in fruit flies as of October 2024?,The study was led by Edward (Ted) Schmid.,The study was led by Jennifer Doudna.
What gene did researchers target to reduce F-actin accumulation in fruit fly neurons?,Researchers targeted the Fhos gene.,Researchers targeted the BRCA1 gene.
What drug was found to reduce F-actin buildup in the study on fruit flies?,The drug rapamycin was found to reduce F-actin buildup.,The drug aspirin was found to reduce F-actin buildup.
"What family of proteins is F-actin a part of, according to the study?",F-actin is part of the actin protein family.,F-actin is part of the keratin protein family.
How much longer did fruit flies live when F-actin buildup was prevented?,They lived 25-30% longer.,They lived 50-60% longer.
What role does the Fhos gene play in relation to actin filaments?,The Fhos gene helps to elongate and organize actin filaments.,The Fhos gene degrades actin filaments.
What was one method researchers used to establish a correlation between diet and F-actin buildup in fruit flies?,Flies on a restricted diet lived longer and had less F-actin buildup.,Flies fed a sugar-rich diet lived longer and had less F-actin buildup.
Who was the senior author of the F-actin study on aging fruit flies?,David W. Walker was the senior author.,James Watson was the senior author.
"What is the primary mechanism by which F-actin drives brain aging, as indicated by the study?","F-actin impairs autophagy, driving brain aging.","F-actin enhances synaptic connections, driving brain aging."
What was the impact of F-actin buildup on the cognitive function of fruit flies?,"F-actin buildup diminished neuronal functions, contributing to cognitive decline.","F-actin buildup enhanced memory retention, improving cognitive function."
"In relation to aging research, what component builds up in the brains of aging fruit flies?",Filamentous actin (F-actin) builds up in their brains.,Collagen builds up in their brains.
What was disrupted to restore autophagy levels in aged fruit flies’ brains?,Disrupting F-actin in aged brains restored autophagy levels.,Disrupting myelin in aged brains restored autophagy levels.
"As of a recent report, how many commercial dairy operations in Cache County tested positive for bird flu?",Eight commercial dairy operations.,Ten commercial dairy operations.
Where were the initial samples from Cache County dairies sent for testing?,Utah Veterinary Diagnostic Laboratory in Logan.,Utah State University Laboratory in Salt Lake City.
Since when has the bird flu been circulating in the United States according to the Utah Department of Agriculture and Food?,Since 2022.,Since 2021.
What is the position of Caroline Hargraves at the Utah Department of Agriculture and Food?,Spokeswoman.,Director.
When was the bird flu first detected at a Texas dairy?,In March.,In January.
What department is encouraging owners to monitor herds and flocks for disease symptoms?,Utah Department of Agriculture and Food.,Utah State Health Department.
Which bird is often responsible for transmitting bird flu to domestic poultry?,Wild birds.,Domesticated pigeons.
What sample types were initially collected from all Cache County dairies for bird flu testing?,Tank samples.,Blood samples.
